DIVISION (BAHAGIAN),DISTRICT (DAERAH),DISTRICT AREA (SQ KM)
KUCHING,KUCHING,1498.4
KUCHING,LUNDU,1835.4
KUCHING,BAU,775
SAMARAHAN,SAMARAHAN,421
SAMARAHAN,ASAJAYA,290
SAMARAHAN,GEDONG,612
SAMARAHAN,SIMUNJAN,395.6
SAMARAHAN,SEBUYAU,707.2
SERIAN,SERIAN,1774
SERIAN,TEBEDU,688
SERIAN,SIBURAN,357
SRI AMAN,SRI AMAN,1174
SRI AMAN,PANTU,761
SRI AMAN,LINGGA,520
SRI AMAN,LUBOK ANTU,3173
BETONG,BETONG,1561
BETONG,PUSA,940
BETONG,SARATOK,867
BETONG,KABONG,832
SARIKEI,SARIKEI,958
SARIKEI,MARADONG,740
SARIKEI,PAKAN,909
SARIKEI,JULAU,1730
SIBU,SIBU,2192
SIBU,KANOWIT,2242
SIBU,SELANGAU,3912
MUKAH,MUKAH,2469
MUKAH,DALAT,948
MUKAH,MATU,1601
MUKAH,DARO,1118
MUKAH,TANJUNG MANIS,833
BINTULU,BINTULU,1973
BINTULU,TATAU,5113
BINTULU,SEBAUH,5126
KAPIT,KAPIT,3973
KAPIT,SONG,3665
KAPIT,BELAGA,16126
KAPIT,BUKIT MABONG,14925
MIRI,MIRI,5160
MIRI,MARUDI,3079
MIRI,SUBIS,3821
MIRI,BELURU,4905
MIRI,TELANG USAN,9816
LIMBANG,LIMBANG,3975
LIMBANG,LAWAS,3680
