DIVISION (BAHAGIAN),DISTRICT (DAERAH),SUB-DISTRICT (DAERAH KECIL),SUB-DISTRICT AREA (SQ KM)
KUCHING,KUCHING,PADAWAN,484
KUCHING,LUNDU,SEMATAN,466
SAMARAHAN,ASAJAYA,SADONG JAYA,121
SERIAN,SERIAN,BALAI RINGIN,584
SRI AMAN,LUBOK ANTU,ENGKILILI,1718
BETONG,BETONG,DEBAK,304
BETONG,BETONG,SPAOH,540
BETONG,PUSA,MALUDAM,590
BETONG,SARATOK,BUDU,244
BETONG,KABONG,ROBAN,369
MUKAH,MUKAH,BALINGIAN,1160
MUKAH,DALAT,OYA,135
MUKAH,MATU,IGAN,259
KAPIT,KAPIT,NANGA MERIT,1694
KAPIT,BELAGA,SUNGAI ASAP,2632
MIRI,MIRI,BARIO,4206
MIRI,MARUDI,MULU,1575
MIRI,SUBIS,NIAH-SUAI,2954
MIRI,BELURU,TINJAR,3671
MIRI,TELANG USAN,LONG LAMA,1830
MIRI,TELANG USAN,LONG BEDIAN,2649
LIMBANG,LIMBANG,NANGA MEDAMIT,3054
LIMBANG,LAWAS,SUNDAR,184
LIMBANG,LAWAS,TRUSAN,619
